imageName longitude latitude altitude Omega Phi Kappa
DJI_0248.JPG -81.67177515 25.93222290 -23.90272461 11.33461656 -66.04278757 -76.53299924
DJI_0249.JPG -81.67171848 25.93222419 -23.57590567 11.68926415 -66.06697757 -76.24061553
DJI_0250.JPG -81.67165024 25.93222769 -23.64432654 19.78566301 -64.99242126 -67.38778662
DJI_0251.JPG -81.67156710 25.93223751 -23.25892637 22.35880215 -64.54117568 -64.60799820
DJI_0252.JPG -81.67146286 25.93225224 -23.01359140 21.94496052 -64.71811619 -65.09474489
DJI_0253.JPG -81.67136023 25.93227190 -22.84567270 21.44594988 -64.99165889 -65.64399859
DJI_0254.JPG -81.67125826 25.93228621 -22.79789176 32.53884129 -62.20520685 -53.32502042
DJI_0255.JPG -81.67118218 25.93230644 -22.63528977 35.59045296 -51.20799738 -46.55856171
DJI_0256.JPG -81.67112308 25.93234331 -22.37827276 41.58631859 -47.11671588 -38.56023340
DJI_0257.JPG -81.67108105 25.93237693 -22.19515533 46.51199039 -42.21528367 -31.42414058
DJI_0258.JPG -81.67104313 25.93240839 -22.15818153 50.02303141 -37.36056495 -25.84214045
DJI_0259.JPG -81.67101049 25.93244198 -22.43820100 51.81225678 -34.30220568 -22.62017836
DJI_0260.JPG -81.67096817 25.93248803 -22.39546322 52.11165178 -33.83142624 -22.00836758
DJI_0261.JPG -81.67091297 25.93254821 -22.37158701 52.96187472 -34.09868906 -21.39979533
DJI_0262.JPG -81.67086515 25.93259907 -22.32678148 53.42087164 -33.26064285 -20.47352449
DJI_0263.JPG -81.67081684 25.93264552 -22.22599427 55.04403546 -29.31427027 -17.08842407
DJI_0264.JPG -81.67078544 25.93269080 -22.23100717 55.64363250 -27.64436062 -15.73986951
DJI_0265.JPG -81.67077265 25.93276618 -22.34245465 55.69957102 -27.51207773 -15.52982376
DJI_0266.JPG -81.67076441 25.93284878 -22.26950352 55.46765649 -27.20330178 -15.23152532
DJI_0267.JPG -81.67072766 25.93293427 -22.19771658 55.24967566 -28.23010586 -15.97590258
DJI_0268.JPG -81.67064002 25.93305774 -22.23353554 56.03611954 -25.98614645 -14.35925751
DJI_0269.JPG -81.67058395 25.93314400 -22.36622036 58.89377636 -9.69435820 -3.82581021
DJI_0270.JPG -81.67057693 25.93321414 -22.41840319 58.97843477 2.91397695 3.61870640
DJI_0271.JPG -81.67059316 25.93329183 -22.50979094 57.86662199 13.16957095 9.78530337
DJI_0272.JPG -81.67062647 25.93336776 -22.40256590 49.50810683 36.17579618 27.58035486
DJI_0273.JPG -81.67065333 25.93339773 -22.47069871 32.39491454 51.55085808 51.07232502
DJI_0274.JPG -81.67065957 25.93340122 -22.37742653 0.79511475 58.47831742 88.46152562
DJI_0275.JPG -81.67065795 25.93339907 -22.31378008 -35.14899020 50.82555562 130.89214141
DJI_0276.JPG -81.67061794 25.93344001 -22.16398444 -50.51026051 37.09777955 152.06088963
DJI_0277.JPG -81.67057962 25.93347541 -22.16330318 -48.59508880 22.32128055 159.73429515
DJI_0278.JPG -81.67059026 25.93345368 -22.36656851 -54.63416691 23.11968653 162.78940185
DJI_0279.JPG -81.67062149 25.93340596 -22.50806120 -54.72152071 22.85704941 162.91988834
DJI_0280.JPG -81.67064386 25.93337084 -22.51790352 -59.27024894 24.13686991 164.72687030
DJI_0281.JPG -81.67066014 25.93334813 -22.59017866 -57.89751258 28.30047340 161.92531298
DJI_0282.JPG -81.67069937 25.93332597 -22.83486727 -61.12132381 16.90735121 169.42234712
DJI_0283.JPG -81.67073925 25.93327534 -22.81300386 -61.42740333 15.33671536 170.22346101
DJI_0284.JPG -81.67077139 25.93319832 -22.59954053 -61.38002140 15.49713503 170.04768422
DJI_0285.JPG -81.67079980 25.93313752 -22.52614560 -61.31251994 16.02380622 169.74516044
DJI_0286.JPG -81.67081270 25.93310783 -22.48526063 -61.23211978 16.24426207 169.60943742
DJI_0287.JPG -81.67082609 25.93307821 -22.38781815 -61.21059950 16.25442627 169.56701866
DJI_0288.JPG -81.67085306 25.93303274 -22.61664912 -61.21798595 16.37331754 169.48061501
DJI_0289.JPG -81.67087191 25.93300804 -22.84349536 -61.21212109 16.42314799 169.50939442
DJI_0290.JPG -81.67090211 25.93296813 -23.33156320 -61.24159374 16.45306441 169.50000978
DJI_0291.JPG -81.67094666 25.93289972 -23.89655059 -61.20329243 16.53245973 169.31301720
DJI_0292.JPG -81.67099671 25.93281490 -24.27387289 -61.22268632 16.48708144 169.34260671
DJI_0293.JPG -81.67104679 25.93273228 -24.58081795 -61.22385710 16.75583485 169.17888766
DJI_0294.JPG -81.67108358 25.93267126 -24.76238187 -61.12155726 16.96971642 169.05782490
DJI_0295.JPG -81.67112820 25.93260290 -25.01974911 -58.60427452 26.25147814 163.06049351
